source, model                                     , method , model_type       , length_controlled_winrate, baseline, improvement
fr    , mapo_enesru_llama3_8b_npo                 , mapo   , npo              ,     0.5622910155075688   ,    16.39, -15.827708984492432
ru    , mapo_enesru_llama3_8b_npo_checkpoint-1    , mapo   , npo_checkpoint-1 ,    14.12722604680826     ,    14.77, -0.6427739531917389
ru    , mapo_enesru_llama3_8b_npo_checkpoint-2    , mapo   , npo_checkpoint-2 ,    14.480377819520946    ,    14.77, -0.2896221804790535
ru    , mapo_enesru_llama3_8b_npo_checkpoint-3    , mapo   , npo_checkpoint-3 ,    12.986174845558898    ,    14.77, -1.783825154441102
ru    , mapo_enesru_llama3_8b_npo_checkpoint-4    , mapo   , npo_checkpoint-4 ,    13.026313027207495    ,    14.77, -1.7436869727925046
ru    , mapo_enesru_llama3_8b_npo_checkpoint-5    , mapo   , npo_checkpoint-5 ,    13.098800345133164    ,    14.77, -1.671199654866836
ru    , mapo_enesru_llama3_8b_npo_checkpoint-10   , mapo   , npo_checkpoint-10,    13.754952071021535    ,    14.77, -1.0150479289784649
ru    , mapo_enesru_llama3_8b_npo_checkpoint-20   , mapo   , npo_checkpoint-20,     1.0063110672125337   ,    14.77, -13.763688932787465
ru    , mapo_enesru_llama3_8b_npo_checkpoint-30   , mapo   , npo_checkpoint-30,     0.6342027327192034   ,    14.77, -14.135797267280797
ru    , mapo_enesru_llama3_8b_npo                 , mapo   , npo              ,     0.2868902930011138   ,    14.77, -14.483109706998885
