source,model,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40
ru,lacomsa_enesru_llama3_8b_dpo_250426,20.43478,1.420703,community,1619,164,640,1,805,20.43478,15.01217,2.13E-01,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-1,18.9441,1.38058,community,1688,152,652,1,805,18.9441,14.12723,0.226429,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-2,17.82609,1.348361,community,1649,143,661,1,805,17.82609,12.60051,0.217912,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-3,17.70186,1.344662,community,1615,142,662,1,805,17.70186,11.88417,0.238049,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-4,17.26708,1.332971,community,1627,139,666,0,805,17.26708,11.89264,0.21034,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-5,17.70186,1.344662,community,1659,142,662,1,805,17.70186,12.9765,0.230697,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-10,18.50932,1.366863,community,1599,148,655,2,805,18.50932,13.05457,0.253885,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-20,19.81366,1.404364,community,1549,159,645,1,805,19.81366,14.85403,0.245253,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-30,0.496894,0.247983,community,2796,4,801,0,805,0.496894,0.328952,0.014459,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_npo,0,0,community,2952,0,805,0,805,0,0.0001758042506,1.29E-05,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_w-reinforce_0.1_1.0,18.07453,1.355686,community,1475,145,659,1,805,18.07453,14.54729,2.80E-01,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_w-reinforce_10.0_1.0,18.32298,1.362915,community,1815,147,657,1,805,18.32298,12.76362,2.41E-01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
