model_type        , lang, avg_length
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
dpo_250426        , fr  ,     1538.0
npo_checkpoint-2  , fr  ,     1726.0
npo_checkpoint-3  , fr  ,     1703.0
npo_checkpoint-4  , fr  ,     1697.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
dpo_250426        , fr  ,     1538.0
npo_checkpoint-2  , fr  ,     1726.0
npo_checkpoint-3  , fr  ,     1703.0
npo_checkpoint-5  , fr  ,     1691.0
npo_checkpoint-4  , fr  ,     1697.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
ppo_150426        , fr  ,     1752.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
ppo_150426        , fr  ,     1752.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo_150426        , ru  ,     1648.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
ppo_150426        , ru  ,     1524.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
dpo_150426        , ru  ,     1648.0
npo_150426        , ru  ,      926.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
npo_checkpoint-10 , ru  ,     1655.0
ppo_150426        , ru  ,     1524.0
npo_checkpoint-4  , ru  ,     1620.0
npo_checkpoint-3  , ru  ,     1651.0
npo_checkpoint-5  , ru  ,     1655.0
npo_checkpoint-2  , ru  ,     1652.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
ppo_150426        , ru  ,     1524.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
npo_checkpoint-10 , ru  ,     1655.0
ppo_150426        , ru  ,     1524.0
npo_checkpoint-4  , ru  ,     1620.0
npo_checkpoint-3  , ru  ,     1651.0
npo_checkpoint-5  , ru  ,     1655.0
npo_checkpoint-2  , ru  ,     1652.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo_checkpoint-20 , ru  ,     4095.0
npo               , ru  ,       15.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
dpo_250426        , ru  ,     1449.0
ppo_150426        , ru  ,     1524.0
npo_checkpoint-2  , ru  ,     1652.0
sft_150426        , ru  ,     2048.0
ppo               , ru  ,     1661.0
npo_checkpoint-1  , ru  ,     1640.0
sft               , ru  ,     2049.0
npo               , ru  ,       15.0
w-reinforce_150426, ru  ,     1683.0
w-reinforce       , ru  ,     1572.0
dpo               , ru  ,     1742.0
